geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
14,Compression,1.2407,0.00650739,0.999514,0.5979,1.0817,1.2513,1.5922,8.5336,43752.6590559,0.910091,1.1424,3.6716,5.7958,9.8842,8.4389,43214.07038979,0.911039,1.1382,3.5717,5.5571,9.4758
14,Lateral bending,1.1142,0.00525681,0.999707,0.4626,0.8659,1.0008,1.2608,12.7711,224727.9142965,0.921254,0.9977,4.3011,6.0212,9.5286,12.7737,223240.01276899,0.921923,0.8941,3.8077,5.351,8.2045
15,Compression,1.4606,0.00742694,0.999287,0.6622,1.2828,1.5057,2.0099,8.9091,56166.87685764,0.872089,1.1444,3.5865,5.3043,12.5987,8.7553,55112.41127404,0.874402,1.1309,3.4804,5.0319,11.2939
15,Lateral bending,1.4037,0.00653378,0.999526,0.5679,1.0681,1.2449,1.6172,13.2252,280342.26885918,0.902371,1.3703,3.7329,5.2533,12.7027,13.1789,277608.04153758,0.904757,1.2123,3.3216,4.6501,9.6691
16,Compression,1.5004,0.00775848,0.999334,0.7083,1.3032,1.4978,1.886,8.2654,41386.64490773,0.931349,1.3031,3.431,5.0479,8.9428,8.1789,40845.77285324,0.932116,1.2904,3.3731,4.8661,8.5102
16,Lateral bending,1.1205,0.00537771,0.999702,0.4684,0.8851,1.021,1.308,12.437,198529.42329926,0.922613,1.3993,3.6297,4.6587,10.5742,12.4304,197796.44699156,0.923369,1.2516,3.2402,4.1538,8.7694
17,Compression,1.421,0.00727853,0.999381,0.6592,1.2197,1.4055,1.8305,8.032,37269.185908,0.915272,1.2429,3.5221,4.5688,8.7973,7.8493,36660.91379843,0.918112,1.2367,3.4574,4.38,8.0072
17,Lateral bending,1.1414,0.00542289,0.99969,0.4712,0.8764,1.0091,1.2947,12.4481,179511.77937649,0.910806,1.4106,3.5525,4.3032,9.5013,12.4057,178575.62360861,0.912434,1.2617,3.1702,3.8331,7.7629
18,Compression,2.2963,0.0104021,0.998597,0.8826,1.8678,2.2447,3.0038,12.4468,64271.18488394,0.882461,2.0945,5.5102,8.0353,14.2506,12.2446,63297.3961665,0.885547,2.078,5.4015,7.7859,13.3177
18,Lateral bending,1.9094,0.00855873,0.999125,0.6935,1.4038,1.696,2.8342,16.8417,232942.75696074,0.860177,2.1014,5.5498,6.8968,15.4835,16.665,231280.37380274,0.864157,1.8752,4.9261,6.1293,13.4964
19,Compression,1.6556,0.00846678,0.999215,0.7766,1.3894,1.6016,2.0498,8.5315,39140.89485832,0.932258,1.3489,3.7749,4.9276,9.4264,8.4222,38633.00783513,0.933439,1.3366,3.7382,4.8271,8.6345
19,Lateral bending,1.2754,0.00616355,0.999613,0.5346,1.0077,1.1733,1.5125,13.3389,194005.79670236,0.911112,1.7209,4.017,4.6519,10.9855,13.3139,193599.52015955,0.912089,1.5406,3.5931,4.1557,9.1793
20,Compression,1.8382,0.01002416,0.999188,0.9175,1.7039,1.9663,2.5212,16.1819,179091.07504008,0.895785,2.0453,6.3257,8.6266,16.1383,16.1889,179234.88269759,0.895108,2.0392,6.3058,8.5855,16.1211
20,Lateral bending,1.6976,0.00879363,0.999356,0.7871,1.5161,1.7591,2.2342,20.3543,809652.94740203,0.884291,3.0516,8.9978,13.537,25.9922,20.3218,808682.2755859,0.88465,2.7645,8.0742,12.1794,23.7826
21,Compression,1.7225,0.00857268,0.999031,0.7605,1.4406,1.686,2.3577,9.5665,48485.91391454,0.852863,1.4319,4.1489,6.2058,12.5181,9.1727,47374.67161088,0.862633,1.4209,4.0364,5.8395,11.0395
21,Lateral bending,1.8378,0.00814757,0.999161,0.6696,1.327,1.5914,2.25,14.9258,214967.69066382,0.848986,1.5392,4.8775,6.5133,12.3852,14.7373,212528.10932439,0.855574,1.3701,4.3296,5.7662,9.8112
22,Compression,2.2367,0.01084105,0.99873,0.9616,1.8509,2.1998,3.0141,14.343,95355.41708705,0.87782,2.2223,7.028,8.7528,15.1792,14.2242,94482.21607545,0.879187,2.2045,6.9272,8.5963,14.9922
22,Lateral bending,1.5262,0.00756779,0.99945,0.6553,1.2754,1.4857,1.9418,17.1665,315708.62216264,0.882871,2.1983,5.4301,7.8863,17.8523,17.1266,314686.01771187,0.883932,1.9675,4.8388,6.9375,15.9381
23,Compression,1.8991,0.00993581,0.998957,0.9104,1.6344,1.9233,2.6955,10.1072,66497.58954637,0.913647,1.2537,4.815,6.8878,11.3692,10.0268,65675.70737923,0.914081,1.2404,4.6289,6.7374,10.847
23,Lateral bending,1.12,0.00547396,0.999703,0.4804,0.9034,1.0546,1.3565,13.792,305123.51150358,0.91527,1.4357,5.0762,6.4032,12.8296,13.8027,304051.05770494,0.915882,1.2829,4.5247,5.7093,11.2473
24,Compression,1.4842,0.00761012,0.999232,0.6928,1.289,1.4944,1.9484,9.9382,34443.4752219,0.582128,1.1835,4.034,6.1393,13.499,9.7394,33894.26048322,0.589246,1.1699,3.9192,5.8973,12.2838
24,Lateral bending,1.6263,0.00721039,0.999372,0.5859,1.2461,1.5046,1.9989,15.6471,194652.21727518,0.841692,1.3365,4.5065,6.5879,10.5327,15.6132,193405.64321476,0.844804,1.1903,4.0,5.8474,9.2156
25,Compression,1.5087,0.00777375,0.999179,0.7135,1.3275,1.5198,1.9328,11.0683,50474.98974505,0.369906,1.4537,4.9126,7.0517,13.192,10.8896,49721.58165407,0.372432,1.4232,4.7911,6.669,12.0416
25,Lateral bending,1.5154,0.00673939,0.999451,0.5567,1.1646,1.3768,1.7996,16.8757,282575.96022744,0.829891,1.3811,5.5126,7.4004,10.7438,16.8562,280788.10928431,0.833068,1.2306,4.9008,6.5484,9.4414
26,Compression,1.3938,0.00720795,0.999459,0.6479,1.2339,1.4393,1.9245,10.1011,69423.27145221,0.911736,1.0827,4.4841,6.8704,10.3895,10.0188,68595.33996892,0.912273,1.0729,4.3056,6.6336,10.2843
26,Lateral bending,1.1111,0.00522393,0.999728,0.465,0.8649,0.9995,1.2825,12.8626,343281.39482487,0.932991,1.1146,4.4642,6.2612,11.5758,12.9075,340850.05013543,0.933038,0.9938,3.9344,5.557,9.6211
27,Compression,1.5396,0.008,0.999275,0.7273,1.3405,1.5647,2.0865,9.582,68968.84751626,0.908986,1.2201,4.4619,6.656,11.3144,9.4776,67993.65740671,0.909791,1.2059,4.2777,6.4108,10.718
27,Lateral bending,1.214,0.005809,0.999649,0.5121,0.9609,1.1089,1.4141,13.2613,323460.51253689,0.918622,1.2175,4.9414,6.5343,12.0162,13.2599,321313.59082614,0.919562,1.087,4.3893,5.7758,10.3818
28,Compression,1.5111,0.00780361,0.99916,0.7214,1.3343,1.5294,1.9279,10.5474,42715.17121062,0.374778,1.3044,4.5673,6.8015,12.7103,10.4169,42142.02258375,0.373517,1.2812,4.4504,6.4854,11.6379
