geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
57,Compression,1.694,0.00735011,0.999225,0.6119,1.2578,1.5032,2.0318,10.3732,92484.04838771,0.920102,1.5837,5.5484,7.8004,13.9796,9.5063,85746.93146181,0.932099,1.3617,4.4457,6.4641,11.5587
57,Lateral bending,2.3669,0.01261286,0.998545,1.1763,2.0978,2.3922,3.0179,16.594,284379.17774965,0.869433,1.2027,4.6507,7.3792,14.0212,16.29,280686.8530033,0.878813,1.0508,4.1869,6.6102,12.6212
58,Compression,1.5784,0.00703653,0.999254,0.5814,1.2037,1.4328,1.9691,9.7967,81254.45828439,0.93357,1.4765,4.9718,7.2826,12.7628,8.9265,74861.8843762,0.944498,1.2727,3.9474,5.8392,10.4497
58,Lateral bending,2.4004,0.01360867,0.998337,1.2878,2.1756,2.4674,3.0418,16.8813,259040.95913055,0.879209,1.1298,4.5967,7.8269,13.4619,16.6025,256005.84534909,0.886858,0.9888,4.1344,7.056,12.0981
59,Compression,1.2851,0.00550619,0.99952,0.4713,0.9396,1.1025,1.4522,8.9157,117454.38629607,0.922145,1.2809,4.4122,6.8994,12.9528,7.9168,108034.89904436,0.937758,1.2335,3.8799,5.6484,10.928
59,Lateral bending,1.417,0.00661772,0.999519,0.6,1.1627,1.3521,1.7317,11.8121,376499.15318454,0.930375,0.9607,2.9127,4.8747,9.2582,11.8142,371414.49502688,0.932413,0.8517,2.5292,4.2669,8.41
60,Compression,1.3475,0.00603938,0.999448,0.5177,1.0129,1.2007,1.5666,9.931,78586.34483027,0.913141,1.2402,5.124,7.7988,13.6781,8.6443,70022.42113128,0.933343,1.1303,4.1896,6.3765,11.9683
60,Lateral bending,1.2494,0.00610229,0.999598,0.5418,1.091,1.2844,1.6734,14.9045,277379.807141,0.895898,1.0505,3.8745,6.4381,11.0033,14.5753,270687.43950926,0.904168,0.9097,3.3804,5.7315,9.7962
61,Compression,1.4676,0.00624577,0.999389,0.5367,1.0688,1.2551,1.6464,11.0342,122015.18353348,0.880597,1.4871,5.8255,8.3573,14.8727,9.8476,111061.43974428,0.903329,1.3849,4.9017,7.2302,13.5418
61,Lateral bending,1.5643,0.00724138,0.999433,0.6592,1.2585,1.4656,1.8848,15.4268,458849.03314377,0.884281,1.2072,4.3912,6.801,10.8433,15.197,449662.7382128,0.891938,1.0444,3.8492,6.1298,9.6733
62,Compression,2.0184,0.00820243,0.998994,0.6786,1.4472,1.7651,2.4053,9.8326,107477.99722326,0.928747,1.6264,5.5353,7.4206,12.0806,9.4973,106065.01873066,0.932386,1.5851,5.0893,6.8214,10.9706
62,Lateral bending,2.0856,0.00977826,0.998998,0.8338,1.8601,2.2034,2.8019,13.8576,336868.33431366,0.899081,1.3544,4.5325,6.2864,11.8272,13.7116,336362.41258754,0.905749,1.2095,4.045,5.6853,10.732
63,Compression,1.2629,0.00569552,0.999509,0.4885,0.9534,1.1236,1.478,8.3719,73754.61256219,0.943081,1.0791,4.28,6.3885,11.2449,7.3864,65897.56210697,0.955152,0.9715,3.5651,5.225,9.7704
63,Lateral bending,1.273,0.00628973,0.999566,0.5451,1.1721,1.381,1.784,13.0485,251235.58017244,0.923405,0.9343,3.2216,5.5066,9.9316,12.8879,247365.68107253,0.927789,0.8168,2.8534,5.0071,8.8867
64,Compression,1.1552,0.00507328,0.999606,0.4349,0.8586,1.0082,1.3423,8.9617,98329.97972624,0.92516,1.1665,4.5285,6.9771,12.6616,7.9549,89207.46595613,0.940302,1.0982,3.8379,5.8748,11.0463
64,Lateral bending,1.2163,0.00580725,0.999634,0.5162,1.0319,1.2312,1.6131,13.1128,339540.35301621,0.917667,0.9566,3.343,5.6124,10.5075,12.9734,334254.42334759,0.921991,0.8452,2.9381,5.039,9.3739
