geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
14,Compression,1.9864,0.00833612,0.99896,0.6857,1.4668,1.8014,2.5048,10.0124,99627.11936466,0.926932,1.7344,5.3998,7.3606,12.3386,9.6787,98947.82626064,0.931035,1.6957,5.0603,6.7752,10.7413
14,Lateral bending,2.1814,0.01057212,0.998836,0.882,2.0578,2.405,2.9769,13.2553,292838.32807876,0.913485,1.2619,4.2126,5.9117,10.9898,13.1502,292707.60988898,0.918551,1.1298,3.7821,5.3371,10.152
15,Compression,1.3595,0.00624526,0.999405,0.53,1.0411,1.2214,1.6443,7.1837,61832.93279776,0.958684,0.9849,3.5176,5.1959,9.8691,6.4775,56366.57916263,0.966116,0.9015,3.0197,4.3062,7.8884
15,Lateral bending,1.6923,0.00881287,0.999195,0.8078,1.5408,1.765,2.2035,12.1402,251208.93957173,0.936955,1.2162,3.2751,4.1904,8.548,12.2112,250802.33395204,0.937969,1.0792,2.927,3.7345,7.8375
16,Compression,1.3184,0.00573128,0.999501,0.4896,0.9692,1.1552,1.6007,8.1505,121034.2051651,0.942161,1.1346,4.2927,6.6248,10.552,7.4377,112659.34860454,0.95127,1.0893,3.8092,5.7918,9.4135
16,Lateral bending,1.3149,0.00635928,0.999569,0.5677,1.149,1.3569,1.7597,11.7008,374770.42062994,0.933094,0.8928,3.1596,4.8807,10.2428,11.7449,374076.78049935,0.934528,0.8002,2.8359,4.3282,9.1904
17,Compression,1.5089,0.00680044,0.999305,0.5658,1.1527,1.38,1.8505,8.7702,72020.94195248,0.94561,1.3337,4.2675,6.3798,11.2922,7.9552,66216.21419889,0.955,1.1684,3.435,5.1075,9.0876
17,Lateral bending,2.3105,0.01292365,0.998453,1.2185,2.1227,2.4048,2.9399,15.7429,237811.02574551,0.897943,1.0892,3.9398,7.2975,12.454,15.5402,234488.30555843,0.903382,0.9462,3.5149,6.567,11.1844
18,Compression,1.8552,0.00763548,0.99918,0.6625,1.3044,1.5507,2.0621,10.0947,185047.73226791,0.929498,1.7997,5.6239,7.2664,11.1978,9.7067,178732.7405301,0.933796,1.7364,5.1794,6.7791,11.0075
18,Lateral bending,1.9567,0.0094078,0.999133,0.8455,1.7023,1.9455,2.3917,14.4171,577065.19125635,0.889471,1.5684,4.8069,6.5792,13.6122,14.376,576454.48416757,0.893943,1.3993,4.3176,5.899,12.4095
