epoch,loss_total,pde_comp,pde_lat,dirichlet_comp,dirichlet_lat,data_u_comp,data_u_lat,data_sigma_comp,data_sigma_lat,hooke_comp,hooke_lat,physics_weight,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,epoch_time_s
1301,-0.26289929111538146,0.1711398920742795,0.09191928681684658,3.209574094853451e-05,2.0685495613292915e-05,0.004495277193420335,0.0026816079659225294,0.45773482954062805,0.48297637072277516,0.37643284373916686,0.33916008239611983,1.0,1.2363783121109009,1.4014328718185425,1.4002999067306519,1.2158362865447998,0.9913520812988281,1.4442487955093384,1.2507364749908447,1.4014277458190918,1.4030386209487915,1.205501675605774,1.143509864807129,1.3894740343093872,0.0
1302,-0.4110870689829563,0.09374231059337035,0.06941251980606467,3.3714663160822056e-05,2.0593927857248673e-05,0.004530446878037601,0.002625165805914567,0.4483696037622074,0.48364951565642084,0.3681265111081302,0.34221847145818174,1.0,1.2367790937423706,1.4018720388412476,1.4007320404052734,1.2161449193954468,0.9914104342460632,1.4447541236877441,1.2511729001998901,1.4018669128417969,1.4034733772277832,1.2058018445968628,1.14376962184906,1.389992117881775,9.755618810653687
1303,-0.18861836475459787,0.14993763726670295,0.1922862504143268,3.188644048179867e-05,2.116112554517713e-05,0.009454919340792461,0.002775262211322214,0.48464851568127937,0.4880587670050185,0.35219078278169036,0.34273929498158395,1.0,1.2371629476547241,1.402293086051941,1.4011465311050415,1.2164409160614014,0.9914666414260864,1.4452402591705322,1.251587152481079,1.4022879600524902,1.4038904905319214,1.2060894966125488,1.144020676612854,1.3904887437820435,9.638396501541138
1304,-0.20669092944743284,0.24133362178690732,0.08882608718704432,3.6282898562944865e-05,2.2122627754583846e-05,0.011564194406646452,0.0028176894133654907,0.4979831743357365,0.4948072445003894,0.3460770614910871,0.34328853571787477,1.0,1.2375541925430298,1.40273118019104,1.4015792608261108,1.2167489528656006,0.9915257096290588,1.4457507133483887,1.2520173788070679,1.402726173400879,1.40432608127594,1.206389307975769,1.144286036491394,1.391005039215088,9.10359525680542
1305,-0.3074680115667675,0.12810436519794166,0.11436532787047327,6.158166127079312e-05,2.271190643909904e-05,0.01791234514300493,0.0039131889183565945,0.4663812215458297,0.49437927717166574,0.36978881736285985,0.3440249408595264,1.0,1.2379590272903442,1.4031825065612793,1.4020256996154785,1.2170658111572266,0.9915874004364014,1.4462755918502808,1.2524577379226685,1.4031773805618286,1.4047762155532837,1.2066982984542847,1.1445623636245728,1.3915361166000366,9.851380109786987
1306,-0.12228225633351436,0.2227741548558697,0.1793948314152658,5.974086062110473e-05,2.213743569257076e-05,0.015913224925857807,0.0034024075254295576,0.46624335595679217,0.5095327393140875,0.3620121160056442,0.338327846955508,1.0,1.2383465766906738,1.4036176204681396,1.4024566411972046,1.2173713445663452,0.9916473627090454,1.4467819929122925,1.2528786659240723,1.403612494468689,1.405211091041565,1.2069963216781616,1.1448296308517456,1.3920485973358154,10.478567123413086
1307,-0.11048347244674203,0.28183381992857903,0.1349733853712678,9.33275980230519e-05,2.0964329507933144e-05,0.024317540671368557,0.002962104011218864,0.4860436243051179,0.4997742970229496,0.347107958747074,0.34101286018267274,1.0,1.238728642463684,1.4040554761886597,1.402890920639038,1.2176783084869385,0.991707980632782,1.4472944736480713,1.253299355506897,1.4040504693984985,1.4056501388549805,1.2072962522506714,1.1451002359390259,1.392564058303833,10.056758165359497
1308,-0.25588299434391254,0.1259758456144482,0.14953347644768655,6.549043388304199e-05,2.0646327030249267e-05,0.04545855152153731,0.003237397259344039,0.4979608055662617,0.49984430730731005,0.3454309976659715,0.3437673954758793,1.0,1.2391178607940674,1.4044984579086304,1.4033311605453491,1.2179876565933228,0.9917696118354797,1.4478161334991455,1.2537214756011963,1.4044934511184692,1.4060958623886108,1.2076001167297363,1.1453757286071777,1.393085241317749,9.94402265548706
1309,-0.12886342088619313,0.18905120680574328,0.19123960565775633,5.687444820523524e-05,2.2357770134817656e-05,0.03101908099605692,0.0037901769513544077,0.4890807748446963,0.5082119655685242,0.36450402857735753,0.3460133927874267,1.0,1.2394919395446777,1.4049252271652222,1.403756022453308,1.218285322189331,0.9918290376663208,1.4483181238174438,1.2541247606277466,1.4049201011657715,1.4065263271331787,1.2078927755355835,1.1456416845321655,1.3935868740081787,10.028602600097656
1310,-0.11999035077263183,0.2662056661210954,0.1048256428912282,7.762166293900918e-05,1.989811114810891e-05,0.05943931714080881,0.003976534486327476,0.5005908338283147,0.5136752582840719,0.3547587525099516,0.33722333470359445,1.0,1.2398715019226074,1.4053672552108765,1.4041975736618042,1.2185916900634766,0.9918909072875977,1.4488391876220703,1.254542589187622,1.4053622484207153,1.406973958015442,1.2081962823867798,1.1459174156188965,1.3941067457199097,9.513266324996948
1311,0.5444705600190569,0.11725084763020277,0.30670816800557077,0.00045742795788328294,2.0423372546929386e-05,0.48031423683241176,0.0034583876769430483,0.6033430911251165,0.5189428735802317,0.3271562741138041,0.345423077698797,1.0,1.2402307987213135,1.4057838916778564,1.4046140909194946,1.2188732624053955,0.9919486045837402,1.4493324756622314,1.2549313306808472,1.4057788848876953,1.4073964357376099,1.208482265472412,1.1461772918701172,1.3945965766906738,9.318283557891846
1312,0.3656829511037861,0.2418369532097131,0.22788496315479279,0.00014277224514103182,2.0507546594217274e-05,0.2767305917003272,0.003892828630434475,0.6169841095938047,0.5206163265108331,0.3242594967596233,0.34935929207131267,1.0,1.2405730485916138,1.406183123588562,1.4050135612487793,1.2191381454467773,0.9920032620429993,1.4498083591461182,1.2553002834320068,1.4061782360076904,1.4078021049499512,1.208756446838379,1.1464260816574097,1.395065426826477,9.7739737033844
1313,0.3700945499243483,0.28458504215814173,0.23426394374109805,0.0006715587228427466,2.0587469833799332e-05,0.3240682921298701,0.004727248276050118,0.5029867650778425,0.504960999057345,0.3482022937387228,0.3425408962648362,1.0,1.2408978939056396,1.4065660238265991,1.4053969383239746,1.2193869352340698,0.9920557737350464,1.4502651691436768,1.255650520324707,1.406561017036438,1.4081916809082031,1.2090193033218384,1.146665096282959,1.3955148458480835,9.918859004974365
1314,0.5890015681006293,0.40601037070155144,0.2224912594538182,0.0003906651832608077,2.1325819361095455e-05,0.26429280342556294,0.006480003900506016,0.5728263883126976,0.539009709115463,0.3850617576390505,0.3365745295304805,1.0,1.2412028312683105,1.406933307647705,1.405765175819397,1.2196217775344849,0.9921056628227234,1.4507012367248535,1.255983829498291,1.406928539276123,1.4085662364959717,1.2092714309692383,1.1468935012817383,1.3959465026855469,9.089205503463745
1315,-0.22248506663815554,0.18131931801326573,0.1506154383532703,8.084408580089075e-05,2.1305282459138652e-05,0.033723054714778045,0.004840574702332366,0.47918089746989745,0.5158465620006409,0.3563515869900584,0.33749590953812003,1.0,1.2415090799331665,1.4073011875152588,1.4061341285705566,1.2198586463928223,0.9921561479568481,1.451137900352478,1.2563166618347168,1.4072962999343872,1.4089423418045044,1.2095240354537964,1.1471222639083862,1.3963788747787476,9.830834865570068
1316,0.024905604091389637,0.1448802067898214,0.11199173494242132,0.00020566404782584868,2.2839032581600804e-05,0.1976516051316716,0.005528016180145276,0.6284125724983167,0.538211782731093,0.3209181318525225,0.351291311904788,1.0,1.2418203353881836,1.407671570777893,1.4065062999725342,1.2200933694839478,0.9922058582305908,1.4515825510025024,1.2566531896591187,1.407666802406311,1.4093217849731445,1.2097784280776978,1.1473511457443237,1.3968130350112915,9.953328609466553
1317,0.14442207526765144,0.19597560411784798,0.20597895071841776,0.0003158116984991466,2.199717619078001e-05,0.22887925526952047,0.0033143981666210907,0.598273765070412,0.5060842540318152,0.3228967117611319,0.3407791377976537,1.0,1.2421220541000366,1.4080307483673096,1.4068678617477417,1.2203179597854614,0.9922534823417664,1.4520165920257568,1.2569772005081177,1.4080259799957275,1.409690260887146,1.2100253105163574,1.1475738286972046,1.3972339630126953,9.185616254806519
1318,-0.021063085500977158,0.2636496619088575,0.11816689441911876,0.00021411920494074366,2.300456276316254e-05,0.1217011300835246,0.006233947288766986,0.5320538083701685,0.5370965378842532,0.3451438413467258,0.33337021013721824,1.0,1.242424488067627,1.4083956480026245,1.4072359800338745,1.2205456495285034,0.992301881313324,1.4524582624435425,1.2573074102401733,1.408390998840332,1.4100656509399414,1.2102761268615723,1.1477986574172974,1.39766263961792,9.739799499511719
1319,0.40341382635134554,0.21394464559853077,0.31355432723648846,0.0003290734869096923,2.1623985574592552e-05,0.34743278970054026,0.0034284730215278524,0.4943793322601599,0.5094284046038755,0.35167195135727525,0.3419709843583405,1.0,1.2427124977111816,1.4087436199188232,1.4075871706008911,1.2207585573196411,0.9923482537269592,1.4528790712356567,1.2576175928115845,1.4087390899658203,1.4104238748550415,1.2105151414871216,1.1480132341384888,1.3980711698532104,9.888141632080078
1320,0.728237446879299,0.20926956390030682,0.3069440955296159,0.0004466794724180545,2.3915933667240097e-05,0.5376215472473667,0.00990785368902679,0.49437057332788475,0.5700693819840524,0.358151329215616,0.34851739765144885,1.0,1.2429883480072021,1.4090770483016968,1.4079235792160034,1.2209552526474,0.992392897605896,1.4532818794250488,1.2579104900360107,1.4090723991394043,1.4107670783996582,1.2107441425323486,1.1482172012329102,1.3984620571136475,9.439626455307007
1321,-0.18975660796539048,0.2055415459908545,0.12359283911064267,7.115554285519465e-05,2.2934931308782325e-05,0.03435285262519513,0.006200196843012334,0.5010156740281847,0.5139622437077329,0.36052231350913644,0.3435574497561902,1.0,1.2432785034179688,1.4094280004501343,1.4082775115966797,1.2211673259735107,0.9924403429031372,1.4537038803100586,1.258220911026001,1.409423589706421,1.411129117012024,1.2109854221343994,1.1484328508377075,1.398872971534729,9.600024223327637
1322,0.3506696282846863,0.16825628897640854,0.1350978488335386,0.000706953957035239,2.186571366280532e-05,0.44534024604427075,0.015756927139886228,0.5060811198573557,0.6100819250184796,0.35222294204868376,0.3259397801011801,1.0,1.2435673475265503,1.4097753763198853,1.4086281061172485,1.221368670463562,0.9924874901771545,1.4541215896606445,1.2585291862487793,1.4097710847854614,1.4114879369735718,1.2112239599227905,1.1486414670944214,1.3992811441421509,9.789642810821533
