epoch,loss_total,pde_comp,pde_lat,dirichlet_comp,dirichlet_lat,data_u_comp,data_u_lat,data_sigma_comp,data_sigma_lat,hooke_comp,hooke_lat,physics_weight,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,epoch_time_s
1,227.7372362930555,38.590899884700775,36.72663190960884,0.018222285609226674,0.015844381356146187,119.98771567735452,83.08610434039025,15.447019055698435,9.216397219612345,6.278562158346176,9.410723693668842,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,228.13805404985212,38.56452786922455,36.773892402648926,0.018181493156589568,0.015938953700242564,120.37227180324544,83.12516060917861,15.418940495481506,9.221681141946613,6.372659876942635,9.581680059432983,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.79106879234314
3,227.63212925123386,38.01998472213745,36.65923139452934,0.01817386448965408,0.0158328709367197,119.99558630509213,82.92050962034862,15.493514807107548,9.22251851868571,6.281984642148018,9.42071820795536,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.767115354537964
4,227.97282644025483,38.261386930942535,37.00242859125137,0.018157594022341073,0.01586958767438773,120.33814937056651,82.95804169456237,15.446135058139745,9.23050031698621,6.378307290375233,9.456348560750484,0.0,1.0,1.0,1.0,0.9998000264167786,0.9998000264167786,1.0,1.0,1.0,1.0,0.9998000264167786,0.9998000264167786,1.0,7.75093936920166
5,2024.1826453443214,115.86519885063171,48.932777523994446,1.3089141678065062,2.30344482883811,629.7923819105537,1361.475474961948,18.851875537011964,14.466976795734713,24.656823739409447,33.630964785814285,0.0,1.0,1.0,1.0,0.9998000264167786,0.9998000264167786,1.0,1.0,1.0,1.0,0.9998000264167786,0.9998000264167786,1.0,7.711461782455444
6,2022.6873378699872,115.76343274116516,48.58426731824875,1.3085915576666594,2.3004000671207905,629.4411126155911,1360.3142417015763,18.86991769937503,14.465830632569535,24.88300570845604,33.54798510670662,0.0,1.0,1.0,1.0,0.9998000264167786,0.9998000264167786,1.0,1.0,1.0,1.0,0.9998000264167786,0.9998000264167786,1.0,7.763882160186768
7,2021.8603185342083,116.62905925512314,48.50630474090576,1.3065893314778805,2.300526723265648,628.0899680415235,1360.9189925060048,18.819870213146224,14.435087137559902,24.991640239953995,33.90905052423477,0.0,1.0,1.0,1.0,0.9996018409729004,0.9996399879455566,1.0,1.0,1.0,1.0,0.9996134042739868,0.9996330738067627,1.0,7.781496047973633
8,285.05666814388746,54.27047935128212,23.148588120937347,0.40645743859931827,0.33927958365529776,125.65955689122804,146.48072569784614,6.87154621010988,6.154720744378159,11.133457727730274,16.75382301211357,0.0,1.0,1.0,1.0,0.9994033575057983,0.9994818568229675,1.0,1.0,1.0,1.0,0.9994259476661682,0.9994598627090454,1.0,7.7896904945373535
9,120.84810767784089,20.691714510321617,29.12872275710106,0.007722039830696303,0.014664823014754802,37.269807726483606,68.41422640953206,8.925784016711953,6.305600626789412,4.16796537488699,5.2039418034255505,0.0,1.0,1.0,1.0,0.9992073774337769,0.9993097186088562,1.0,1.0,1.0,1.0,0.9992343783378601,0.9992814064025879,1.0,7.674309253692627
10,71.83374076826897,15.713314265012741,22.331797167658806,0.0252878017781768,0.0017981243563554017,29.733488464665225,29.787077495364855,6.027930796747798,6.337363705695742,3.179934125393629,2.9354932829737663,0.0,1.0,1.0,1.0,0.9990090727806091,0.9991296529769897,1.0,1.0,1.0,1.0,0.9990420937538147,0.9991095066070557,1.0,7.851333379745483
11,64.92675489046479,14.516723707318306,19.42878670990467,0.13058505882509053,0.06426228809868917,29.133746080369804,24.448422943691174,5.8311719041728605,5.5720281386612385,3.2628274746239185,3.830863017588854,0.0,1.0,1.0,1.0,0.9988092184066772,0.9989426732063293,1.0,1.0,1.0,1.0,0.9988523125648499,0.9989283084869385,1.0,7.787290811538696
12,53.37446107026724,13.08508038520813,15.220075815916061,0.11868804250843823,0.05860267928801477,19.617945491749623,22.705671369777164,5.7691380574421816,5.338476964998842,2.8812915571033955,3.086748205125332,0.0,1.0,1.0,1.0,0.9986082911491394,0.9987527132034302,1.0,1.0,1.0,1.0,0.9986598491668701,0.9987422823905945,1.0,7.71960973739624
13,43.08238310663417,10.328688845038414,8.972806915640831,0.03051634249277413,0.011311353620840237,14.630688615927554,17.733421636537678,5.771679331193274,4.99896646430993,2.2502621933817863,2.1763005796819925,0.0,1.0,1.0,1.0,0.9984058737754822,0.9985734820365906,1.0,1.0,1.0,1.0,0.9984637498855591,0.9985626339912415,1.0,7.756726026535034
14,39.542585604208064,10.730751737952232,6.856887884438038,0.035214714356698096,0.010976843535900116,11.895642063668788,17.16303979290246,5.672484556395676,4.8658361220027695,2.174472426995635,2.146532502025366,0.0,1.0,1.0,1.0,0.9982015490531921,0.9983898997306824,1.0,1.0,1.0,1.0,0.9982642531394958,0.9983781576156616,1.0,7.618704795837402
15,36.43570474090987,11.779930993914604,7.21076562255621,0.07797915698029101,0.030511476012179628,11.269792618976917,15.122798302417774,5.354176315759904,4.744999544187804,2.2899819407612085,2.06808297149837,0.0,1.0,1.0,1.0,0.9979971051216125,0.9981998205184937,1.0,1.0,1.0,1.0,0.9980632662773132,0.9981873631477356,1.0,7.755832195281982
